,r_user_degree,r_avg_pop_choice,r_avg_aud_omni
Blekel,34.0,3166.9615384615386,25.91674764760024
humansuitcase,17.0,3875.8,25.670481664819572
kvo4,5.0,4053.0,25.486671846671843
format_c,6.0,2244.0,26.382433426244567
Sp4rk_lfm,35.0,3615.16,25.534098758363648
SHooT2993,3.0,3762.6666666666665,25.690719209946337
raymaxxp,5.0,2776.8,26.33123651998643
Darsh_,3.0,2742.6666666666665,26.04477550537075
dr_shoganai,9.0,3631.0,25.544157061598572
Snoo52,19.0,2382.25,26.40561472121249
sevapg,2.0,9433.0,22.397634313508732
WhiteTapes,5.0,2866.75,26.258436590037523
somasoma,2.0,1814.5,27.084097208013244
gitasek1,8.0,6015.142857142857,24.372610088202368
KrzysiekHerman,3.0,2819.0,26.353989469420817
Bebopalulahola,1.0,11031.0,21.538475993610824
meltingpot123,3.0,1583.3333333333333,26.961956810187598
Rugaroo,37.0,3778.4166666666665,25.645981111493665
rafacrooked,13.0,2875.5,25.984421760786457
apax,29.0,3796.6190476190477,25.62995422275809
petracco,7.0,2614.8571428571427,25.79090991040664
asolitarymaiden,43.0,2176.75,26.360453163362415
yana-ewelka,36.0,2679.625,26.277247430535606
kinhoblackout,1.0,8991.0,22.719120725750173
superbirger,40.0,3134.6,25.92715846427224
rowboz,8.0,3843.6666666666665,25.754251531935196
another-puppy,1.0,11031.0,21.538475993610824
Daseinsart,38.0,2968.1428571428573,26.058763957453078
mainard,30.0,3491.25,25.662453945456154
Celebrina,2.0,1470.5,26.914882545346416
kxybode,2.0,6429.0,24.095020808264437
robert_rude,2.0,4947.0,25.03409090909091
kingofthecigar,2.0,1616.0,27.310238645111625
cockot,13.0,3377.6363636363635,25.984308430299258
